도착 시군구 코드,평균 이동 시간(분)_x,이동인구(합)_x,평균 이동 시간(분)_y,이동인구(합)_y
11010,21.86775373179066,46.04621901164717,5471640,11521454.689999295
11020,21.524816865605217,46.21433604509433,5368440,11526178.909998842
11030,21.820457545094587,38.412082050148825,4959790,8731066.249998828
11040,22.150334205298154,44.717847166253456,5139830,10376463.409998951
11050,22.81056768360555,50.04332550373178,5020720,11014786.159998883
11060,22.149240721002187,41.03727980045525,5132710,9509691.959998896
11070,23.887740958112836,43.63915705238335,4635870,8469007.569998983
11080,22.716320585566617,48.93174944972493,5232500,11270988.09999909
11090,24.355288963185124,42.2163189493589,4458260,7727739.399999096
11100,25.138206180366293,40.194257291732384,4086140,6533455.939999224
11110,24.66204089707898,59.02663105482859,5235480,12530704.479998507
11120,24.993078182325416,55.01815337484026,4748160,10452293.759998778
11130,22.411313822374257,46.13484366798368,4952990,10195984.989999065
11140,22.30796403339756,60.518839193958634,5557360,15076453.219998974
11150,23.20939417523017,49.14047664426643,4383860,9281800.649998976
11160,25.52039629750221,65.1579725103424,5486630,14008312.509998513
11170,23.162535841941946,45.00829176322138,4717560,9166928.799998825
11180,24.28381937369038,32.82142153186954,3789660,5122012.579998964
11190,21.74557132905389,61.73690093394382,5525180,15686296.999999247
11200,22.059055803183018,45.11626162844589,4944030,10111772.369998692
11210,23.48072469318161,53.024888214156434,5150450,11630903.179998785
11220,23.119681388945068,72.51279049144513,5944440,18644198.639998406
11230,23.418794242482804,104.43729652930946,6543820,29182496.019998826
11240,25.735699041029726,94.9382398787945,6234190,22997744.289999302
11250,25.931700945451578,73.45083590572345,5082380,14395702.779998645
