도착 시군구 코드,평균 이동 시간(분)_x,이동인구(합)_x,평균 이동 시간(분)_y,이동인구(합)_y
11010,21.44332962658139,41.523062761384786,10239340,19827553.130000565
11020,21.16626949338799,41.7608593553881,10285410,20293021.430001162
11030,21.553622134890166,34.67616760182185,9488120,15264795.739997998
11040,21.950757408665424,39.90779310435804,9952210,18093714.499998685
11050,22.779080648059345,43.712429942524196,9761770,18732568.43999926
11060,21.985939743643307,37.39453151902667,9998260,17005424.969998013
11070,23.849072225453668,38.08676620395029,9102380,14536423.709996892
11080,22.508756576980407,42.64864130659747,10314120,19542758.95999824
11090,24.282441331202023,36.28142104402158,8765160,13096395.709997337
11100,25.102881812939323,35.09954339862811,8053130,11260109.019996889
11110,24.497542170056036,51.09118181253292,10256190,21389936.35999866
11120,25.066142275881376,46.712971958492716,9222310,17186589.92999668
11130,22.32828846076765,39.908331443172116,9470030,16926200.88999826
11140,22.322323030865764,51.1231700385969,10722260,24556401.24999956
11150,23.233772128915117,43.12441563157007,8445360,15675509.459997563
11160,25.496986160601722,54.20868214103637,10718780,22789004.719998844
11170,23.480407888607072,38.89559583828982,9072360,15028480.319998423
11180,24.394484798930616,28.73058252953303,7190250,8468310.469997332
11190,21.87790945209985,52.142928449927545,10842320,25841148.910000443
11200,22.215129819718797,38.417588945793135,9528980,16478879.019997453
11210,23.84246822927372,46.586808799170974,10091730,19718658.7999987
11220,22.959343939957076,59.509765966882476,11489820,29781186.2999986
11230,23.284572620501873,83.30930615676702,12904380,46170267.399998754
11240,25.605606525698356,77.32626354176406,11978610,36174153.99999973
11250,26.108476771106233,59.88940366884799,9596980,22014206.889998812
